# cfgfile = ./initcfg/SAGA/SAGA.1905.meiyo_m4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,Azimuth,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,ping_id
26,S01,L01,M12,2.207012,0.0,34.5868,-32.39006,0.0,False,57582.40112,-18.27438,844.31104,12.88716,181.74,-0.26,0.17,57585.66964,-18.27717,834.27807,13.10248,182.51,-0.26,0.22,L0100014.bin
27,S01,L01,M14,2.232905,0.0,36.88118,31.04281,0.0,False,57583.49115,-18.19551,841.06076,13.02489,181.92,0.01,0.22,57586.78556,-18.43155,830.91148,13.04899,182.91,-0.23,0.39,L0100014.bin
28,S01,L01,M13,2.51261,0.0,44.38011,0.33241,0.0,False,57592.40124,-18.60603,813.98502,13.05634,184.33,-0.01,0.27,57595.975355,-18.97006,803.04061,12.86695,185.13,-0.86,0.12,L0100015.bin
29,S01,L01,M11,1.876436,0.0,16.52768,4.01534,0.0,False,57593.491165,-18.6949,810.80723,13.07462,184.55,0.27,0.26,57596.42911,-19.0053,801.69678,12.80749,185.24,-0.93,0.06,L0100015.bin
30,S01,L01,M14,2.19366,0.0,35.51973,32.68433,0.0,False,57602.40189,-20.09759,784.62309,13.14919,186.31,0.1,0.18,57605.657055,-20.63089,774.91715,12.83723,186.37,-0.51,-0.3,L0100016.bin
31,S01,L01,M12,2.168777,0.0,33.09726,-34.6614,0.0,False,57603.4913,-20.24543,781.46914,13.22632,186.21,0.53,-0.05,57606.721585,-20.97385,772.01004,12.9919,186.37,0.01,0.01,L0100016.bin
32,S01,L01,M11,1.857011,0.0,14.36895,4.03791,0.0,False,57612.401305,-22.41146,755.90417,13.29703,185.45,0.27,0.63,57615.319825,-23.1059,747.44248,12.88693,185.36,-0.48,0.08,L0100017.bin
33,S01,L01,M13,2.455725,0.0,43.018,0.16469,0.0,False,57613.491335,-22.64572,752.78063,13.20446,185.38,0.28,0.36,57617.008565,-23.35871,742.80189,12.94707,184.59,-0.04,0.25,L0100017.bin
34,S01,L01,M12,2.139002,0.0,31.87287,-36.9709,0.0,False,57622.401355,-24.67542,727.62648,13.22196,183.67,0.15,1.22,57625.601865,-24.86991,718.79101,13.04607,182.63,0.24,0.32,L0100018.bin
35,S01,L01,M14,2.15356,0.0,34.00457,34.48978,0.0,False,57623.491385,-24.80832,724.40416,12.96551,183.46,-0.6,0.91,57626.70645,-24.84295,715.57999,13.02677,182.49,0.2,-0.04,L0100018.bin
36,S01,L01,M13,2.407555,0.0,41.78915,0.02776,0.0,False,57632.40145,-25.67983,699.50027,12.96348,181.51,-0.57,0.68,57635.87051,-26.00448,690.10274,13.06318,181.13,-0.05,0.68,L0100019.bin
37,S01,L01,M11,1.838821,0.0,12.0003,4.19532,0.0,False,57633.49148,-25.79541,696.70433,13.09088,181.37,-0.03,0.71,57636.39181,-26.03095,688.54268,12.92693,181.0,-0.61,0.67,L0100019.bin
38,S01,L01,M14,2.1215,0.0,32.7134,36.38509,0.0,False,57642.40155,-26.13889,672.06862,12.9387,179.88,-0.14,0.55,57645.584555,-26.17168,663.2884,13.1038,179.03,-0.39,0.98,L0100020.bin
39,S01,L01,M12,2.107377,0.0,30.49592,-39.55421,0.0,False,57643.491475,-26.15418,669.23311,13.16036,179.61,0.43,0.88,57646.66036,-26.17807,660.35415,12.90759,178.9,-0.47,0.81,L0100020.bin
40,S01,L01,M11,1.825631,0.0,9.89433,5.14308,0.0,False,57652.401565,-25.6795,644.72427,13.05554,177.73,0.02,0.47,57655.288705,-25.47921,636.74428,13.04003,177.57,0.06,0.6,L0100021.bin
41,S01,L01,M13,2.35599,0.0,40.39352,0.03462,0.0,False,57653.491695,-25.57041,641.74049,13.06931,177.59,0.29,0.46,57656.90919,-25.32999,632.21706,12.94519,177.43,-0.3,1.02,L0100021.bin
42,S01,L01,M12,2.080132,0.0,29.22065,-41.93758,0.0,False,57662.401695,-24.43133,617.2022,13.01301,177.92,-0.48,0.13,57665.543335,-23.96823,608.65126,12.89977,178.17,-0.04,0.34,L0100022.bin
43,S01,L01,M14,2.08947,0.0,31.3443,38.88335,0.0,False,57663.49162,-24.35694,614.36022,13.01208,178.1,-0.05,0.17,57666.642595,-23.63056,605.51301,12.81872,178.43,-0.5,0.15,L0100022.bin
44,S01,L01,M13,2.31124,0.0,39.09272,0.15631,0.0,False,57672.401725,-23.27449,589.79401,12.89745,179.7,-0.69,0.44,57675.77447,-22.6313,580.62458,13.0291,180.29,-0.06,-0.1,L0100023.bin
45,S01,L01,M11,1.813971,0.0,7.54402,7.69268,0.0,False,57673.49165,-22.8428,587.00274,12.84407,179.9,-0.03,-0.43,57676.36713,-22.68843,579.01621,13.06849,180.44,-0.16,0.29,L0100023.bin
46,S01,L01,M14,2.063045,0.0,30.13509,41.38744,0.0,False,57682.401715,-22.35534,562.55779,13.11711,181.61,0.38,0.16,57685.526265,-22.35548,553.92417,13.04765,182.26,-0.09,0.28,L0100024.bin
47,S01,L01,M12,2.052487,0.0,27.8174,-44.88675,0.0,False,57683.491745,-22.46473,559.46829,13.15378,181.73,0.06,0.59,57686.60574,-22.22279,551.00969,13.06348,182.36,0.09,-0.07,L0100024.bin
48,S01,L01,M11,1.806671,0.0,5.4082,11.06242,0.0,False,57692.401835,-22.24359,534.97925,13.09281,183.37,0.23,0.06,57695.270015,-22.61875,527.24911,13.22746,183.9,0.23,0.58,L0100025.bin
49,S01,L01,M13,2.262725,0.0,37.57498,0.22517,0.0,False,57693.49176,-22.18588,531.7194,12.90114,183.61,-0.87,-0.23,57696.81599,-22.79163,523.0297,13.26738,184.17,0.7,0.62,L0100025.bin
50,S01,L01,M12,2.030887,0.0,26.64722,-47.98813,0.0,False,57702.401855,-23.13162,507.5313,13.16489,185.32,0.15,0.58,57705.49425,-23.44266,499.02489,13.08618,185.82,0.01,0.1,L0100026.bin
51,S01,L01,M14,2.03421,0.0,28.73662,44.3195,0.0,False,57703.49189,-23.31003,504.47697,13.11479,185.53,-0.15,0.55,57706.587605,-23.60911,495.98768,12.97965,186.17,-0.04,-0.01,L0100026.bin
52,S01,L01,M13,2.22033,0.0,36.16702,0.09674,0.0,False,57712.401895,-24.59913,480.01301,13.01159,186.85,-0.37,0.16,57715.68373,-25.2134,470.93469,12.9721,187.3,-0.08,0.03,L0100027.bin
53,S01,L01,M11,1.801076,0.0,3.02725,17.93095,0.0,False,57713.49192,-24.80292,477.12447,13.0466,186.84,0.21,0.27,57716.354505,-25.39493,469.05153,12.97139,187.2,-0.29,0.19,L0100027.bin
54,S01,L01,M14,2.00949,0.0,27.44871,47.09882,0.0,False,57722.40203,-26.88687,452.38724,12.8519,186.56,-0.81,0.58,57725.473025,-27.29481,444.30701,13.19651,186.04,0.98,0.18,L0100028.bin
55,S01,L01,M12,2.010492,0.0,25.49073,-52.0157,0.0,False,57723.492055,-27.02548,449.42375,12.79282,186.38,-0.71,0.5,57726.564055,-27.58305,441.07455,13.1727,185.87,0.3,0.3,L0100028.bin
56,S01,L01,M11,1.799061,0.0,1.02735,47.97661,0.0,False,57732.402065,-28.82375,425.09362,12.98136,184.65,-0.06,0.59,57735.262635,-29.00465,417.17304,13.004,184.16,0.04,0.17,L0100029.bin
57,S01,L01,M13,2.17515,0.0,34.53196,-0.16355,0.0,False,57733.492095,-28.91324,422.11971,12.97896,184.32,0.23,0.48,57736.72875,-29.40542,413.17771,13.10098,184.19,-0.1,0.47,L0100029.bin
58,S01,L01,M12,1.994537,0.0,24.52188,-55.94279,0.0,False,57742.402085,-30.11181,397.62816,13.16029,182.96,0.55,0.11,57745.45813,-30.33026,388.92036,12.95452,182.3,-0.69,0.61,L0100030.bin
59,S01,L01,M14,1.985015,0.0,26.06272,50.59532,0.0,False,57743.49211,-30.28889,394.51854,13.0482,182.8,0.19,0.48,57746.53863,-30.45825,386.0603,13.1114,182.05,-0.13,0.65,L0100030.bin
60,S01,L01,M13,2.135805,0.0,32.98688,-0.30162,0.0,False,57752.40214,-30.87314,369.57919,13.12989,180.93,0.02,0.66,57755.59945,-30.79564,360.66634,13.15304,180.44,0.18,0.19,L0100031.bin
61,S01,L01,M11,1.800366,0.0,1.91253,159.10412,0.0,False,57753.492165,-30.73995,366.42412,13.04361,180.62,-0.38,0.46,57756.35404,-30.9039,358.54861,13.15626,180.3,0.38,0.42,L0100031.bin
62,S01,L01,M14,1.966125,0.0,24.92011,54.33019,0.0,False,57762.40222,-30.83397,341.43952,13.25466,179.07,0.45,0.67,57765.42985,-30.47873,332.56234,12.9034,178.54,-0.62,0.35,L0100032.bin
63,S01,L01,M12,1.977647,0.0,23.44714,-60.73567,0.0,False,57763.492245,-30.66184,338.18795,13.09365,178.94,-0.05,0.42,57766.5314,-30.50627,329.53116,12.99345,178.27,-0.0,0.62,L0100032.bin
64,S01,L01,M11,1.804356,0.0,4.10847,170.03608,0.0,False,57772.402335,-30.03634,312.71473,13.00579,178.1,-0.56,0.97,57775.2682,-29.42276,304.54646,13.11819,178.23,0.28,0.3,L0100033.bin
65,S01,L01,M13,2.092655,0.0,31.16086,-0.25407,0.0,False,57773.492265,-29.88066,309.62037,12.9999,178.02,-0.24,1.07,57776.646425,-29.29474,300.61644,13.19626,178.52,0.42,0.12,L0100033.bin
66,S01,L01,M12,1.964007,0.0,22.5146,-65.42146,0.0,False,57782.402305,-28.71671,284.02295,13.04226,179.6,0.0,0.33,57785.42782,-28.4249,275.33842,13.02465,180.52,0.26,0.03,L0100034.bin
67,S01,L01,M14,1.948685,0.0,23.81319,59.21552,0.0,False,57783.492335,-28.63956,280.85966,13.02431,179.89,0.03,0.2,57786.502525,-28.38051,272.16717,13.02883,180.8,-0.15,0.19,L0100034.bin
68,S01,L01,M13,2.055295,0.0,29.43683,-0.1548,0.0,False,57792.40241,-28.32041,255.13715,12.93402,182.02,-0.03,-0.25,57795.51921,-28.32992,246.06735,13.08321,182.51,-0.15,0.4,L0100035.bin
69,S01,L01,M11,1.812461,0.0,6.63192,173.25678,0.0,False,57793.49243,-28.37542,251.99352,12.93424,182.22,0.02,0.1,57796.3664,-28.42768,243.63001,13.15835,182.66,-0.11,0.53,L0100035.bin
70,S01,L01,M14,1.93454,0.0,22.86267,63.94269,0.0,False,57802.40252,-29.06851,226.2582,13.14537,184.08,-0.04,0.48,57805.398565,-28.93318,217.37098,12.90526,184.34,-0.27,-0.45,L0100036.bin
71,S01,L01,M12,1.953167,0.0,21.71735,-71.28497,0.0,False,57803.49245,-29.12632,223.02719,13.09325,184.01,-0.11,0.51,57806.507125,-29.09826,214.3337,13.08081,184.69,0.41,-0.42,L0100036.bin
72,S01,L01,M11,1.822721,0.0,8.87829,175.50774,0.0,False,57812.40247,-30.29538,197.25619,13.3242,185.78,0.27,-0.09,57815.2867,-30.86616,188.87684,12.87222,185.82,-0.17,0.06,L0100037.bin
73,S01,L01,M13,2.01587,0.0,27.42371,-0.35398,0.0,False,57813.492605,-30.58796,193.89811,13.05226,185.84,-0.69,-0.03,57816.56998,-30.96221,185.18685,12.91234,185.98,0.41,-0.2,L0100037.bin
74,S01,L01,M12,1.947727,0.0,21.29462,-76.9685,0.0,False,57822.40263,-32.64541,168.47857,13.36589,185.46,0.4,0.79,57825.411865,-33.0733,159.47834,12.83718,184.87,-0.76,0.02,L0100038.bin
75,S01,L01,M14,1.920665,0.0,21.85438,69.60225,0.0,False,57823.492555,-32.88629,165.231,13.23545,185.29,0.08,0.64,57826.474725,-33.30116,156.62869,13.07736,184.59,0.04,0.1,L0100038.bin
76,S01,L01,M13,1.98312,0.0,25.57225,-0.73541,0.0,False,57832.402655,-34.54947,139.50985,13.2192,183.39,0.15,0.73,57835.44728,-34.96547,130.67307,13.00594,182.47,-0.21,0.75,L0100039.bin
77,S01,L01,M11,1.837746,0.0,11.35501,177.46824,0.0,False,57833.492685,-34.86706,136.31854,13.09679,183.12,-0.12,1.1,57836.39194,-35.00831,127.97556,13.14061,182.31,0.01,0.38,L0100039.bin
78,S01,L01,M14,1.91142,0.0,21.14376,75.14788,0.0,False,57842.40275,-35.72451,110.59773,13.18868,181.19,0.11,0.63,57845.375675,-35.98471,101.85244,12.95833,180.43,-0.27,0.88,L0100040.bin
79,S01,L01,M12,1.944262,0.0,21.03665,-83.5487,0.0,False,57843.49288,-35.85984,107.36436,13.09699,181.05,-0.09,0.65,57846.49865,-35.98562,98.56918,12.94012,180.24,-0.13,0.77,L0100040.bin
80,S01,L01,M11,1.853961,0.0,13.55264,178.11044,0.0,False,57852.39276,-36.11894,81.55512,13.23946,179.31,-0.05,0.63,57855.30823,-36.04931,72.80584,12.83644,178.43,-0.76,0.76,L0100041.bin
81,S01,L01,M13,1.94884,0.0,23.42812,-0.9808,0.0,False,57853.48279,-36.27063,78.52639,13.28558,179.13,0.54,0.88,57856.493135,-35.86464,69.42371,12.79514,178.26,-0.72,0.47,L0100041.bin
