# cfgfile = ./initcfg/SAGA/SAGA.1905.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
47,S01,L01,M12,2.052487,0.0,0.0,0.0,False,57683.491745,-22.76885,559.83772,13.15375,181.73,0.06,0.59,57686.60574,-22.52691,551.37912,13.06344,182.36,0.09,-0.07
48,S01,L01,M11,1.806671,0.0,0.0,0.0,False,57692.401835,-22.5477,535.34868,13.09278,183.37,0.23,0.06,57695.270015,-22.92287,527.61854,13.22743,183.9,0.23,0.58
49,S01,L01,M13,2.262725,0.0,0.0,0.0,False,57693.49176,-22.48999,532.08884,12.90111,183.61,-0.87,-0.23,57696.81599,-23.09574,523.39913,13.26735,184.17,0.7,0.62
50,S01,L01,M12,2.030887,0.0,0.0,0.0,False,57702.401855,-23.43574,507.90073,13.16486,185.32,0.15,0.58,57705.49425,-23.74678,499.39432,13.08615,185.82,0.01,0.1
51,S01,L01,M14,2.03421,0.0,0.0,0.0,False,57703.49189,-23.61415,504.8464,13.11476,185.53,-0.15,0.55,57706.587605,-23.91323,496.35712,12.97962,186.17,-0.04,-0.01
52,S01,L01,M13,2.22033,0.0,0.0,0.0,False,57712.401895,-24.90325,480.38244,13.01156,186.85,-0.37,0.16,57715.68373,-25.51752,471.30413,12.97207,187.3,-0.08,0.03
53,S01,L01,M11,1.801076,0.0,0.0,0.0,False,57713.49192,-25.10704,477.4939,13.04657,186.84,0.21,0.27,57716.354505,-25.69905,469.42097,12.97136,187.2,-0.29,0.19
54,S01,L01,M14,2.00949,0.0,0.0,0.0,False,57722.40203,-27.19099,452.75668,12.85187,186.56,-0.81,0.58,57725.473025,-27.59893,444.67644,13.19648,186.04,0.98,0.18
55,S01,L01,M12,2.010492,0.0,0.0,0.0,False,57723.492055,-27.3296,449.79318,12.79279,186.38,-0.71,0.5,57726.564055,-27.88717,441.44398,13.17267,185.87,0.3,0.3
56,S01,L01,M11,1.799061,0.0,0.0,0.0,False,57732.402065,-29.12787,425.46305,12.98133,184.65,-0.06,0.59,57735.262635,-29.30877,417.54247,13.00398,184.16,0.04,0.17
57,S01,L01,M13,2.17515,0.0,0.0,0.0,False,57733.492095,-29.21735,422.48914,12.97893,184.32,0.23,0.48,57736.72875,-29.70954,413.54715,13.10095,184.19,-0.1,0.47
58,S01,L01,M12,1.994537,0.0,0.0,0.0,False,57742.402085,-30.41594,397.99759,13.16027,182.96,0.55,0.11,57745.45813,-30.63438,389.2898,12.9545,182.3,-0.69,0.61
59,S01,L01,M14,1.985015,0.0,0.0,0.0,False,57743.49211,-30.59301,394.88797,13.04818,182.8,0.19,0.48,57746.53863,-30.76238,386.42974,13.11138,182.05,-0.13,0.65
60,S01,L01,M13,2.135805,0.0,0.0,0.0,False,57752.40214,-31.17726,369.94862,13.12987,180.93,0.02,0.66,57755.59945,-31.09976,361.03577,13.15302,180.44,0.18,0.19
61,S01,L01,M11,1.800366,0.0,0.0,0.0,False,57753.492165,-31.04407,366.79356,13.04359,180.62,-0.38,0.46,57756.35404,-31.20802,358.91804,13.15624,180.3,0.38,0.42
62,S01,L01,M14,1.966125,0.0,0.0,0.0,False,57762.40222,-31.13809,341.80896,13.25464,179.07,0.45,0.67,57765.42985,-30.78285,332.93177,12.90338,178.54,-0.62,0.35
63,S01,L01,M12,1.977647,0.0,0.0,0.0,False,57763.492245,-30.96596,338.55739,13.09363,178.94,-0.05,0.42,57766.5314,-30.8104,329.90059,12.99343,178.27,-0.0,0.62
64,S01,L01,M11,1.804356,0.0,0.0,0.0,False,57772.402335,-30.34046,313.08417,13.00577,178.1,-0.56,0.97,57775.2682,-29.72688,304.91589,13.11817,178.23,0.28,0.3
65,S01,L01,M13,2.092655,0.0,0.0,0.0,False,57773.492265,-30.18478,309.9898,12.99988,178.02,-0.24,1.07,57776.646425,-29.59887,300.98587,13.19624,178.52,0.42,0.12
66,S01,L01,M12,1.964007,0.0,0.0,0.0,False,57782.402305,-29.02084,284.39239,13.04224,179.6,0.0,0.33,57785.42782,-28.72902,275.70786,13.02463,180.52,0.26,0.03
67,S01,L01,M14,1.948685,0.0,0.0,0.0,False,57783.492335,-28.94369,281.2291,13.0243,179.89,0.03,0.2,57786.502525,-28.68464,272.5366,13.02881,180.8,-0.15,0.19
68,S01,L01,M13,2.055295,0.0,0.0,0.0,False,57792.40241,-28.62453,255.50658,12.934,182.02,-0.03,-0.25,57795.51921,-28.63404,246.43678,13.08319,182.51,-0.15,0.4
69,S01,L01,M11,1.812461,0.0,0.0,0.0,False,57793.49243,-28.67954,252.36295,12.93423,182.22,0.02,0.1,57796.3664,-28.73181,243.99944,13.15834,182.66,-0.11,0.53
